T3SC-ACU160;ANTENNA CONTROL UNIT;E0001-0160;RACK 4;T3S-C
T3SC-CON;CONVERTER;A0064;RACK 4;T3S-C
T3SC-DC04;DOWN CONVERTER;84854.003.00-1004;RACK 4;T3S-C
T3SC-DC05;DOWN CONVERTER;84854.003.00-1005;RACK 4;T3S-C
"T3SC-DC06 ";DOWN CONVERTER;84854.003.00-1006;RACK 4;T3S-C
T3SC-DHY915;DEHYDRATOR;100033915;RACK 1;T3S-C
T3SC-DTR141;DIGITAL TRACKING RECEIVER;VCJ11021141;RACK 4;T3S-C
T3SC-ETH;ETHERNET;SNE-ETH-015;RACK 3;T3S-C
T3SC-FO1;FIBER OPTIK;AC-FO-002;RACK 3;T3S-C
T3SC-FO2;FIBER OPTIK;AC-FO-003;RACK 3;T3S-C
T3SC-HPA6K0;HPA;F13266K0;RACK 2;T3S-C
T3SC-HPA7K0;HPA;F13267K0;RACK 3;T3S-C
T3SC-HPA8K0;HPA;F13268K0;RACK 2;T3S-C
T3SC-KVM;KVM;SNE-KVM-003;RACK 3;T3S-C
T3SC-KVM2;KVM;Z89CU108CB90083;RACK 3;T3S-C
T3SC-MTR10;MONOPULSE TRACKING RECEIVER;ANT-MTR-10;RACK 4;T3S-C
T3SC-PPN01;PATCH PANEL;ACC-PP-001;RACK 4;T3S-C
T3SC-PS6K0;POWER SUPPLY;RF-PSU-F13266K0;RACK 2;T3S-C
T3SC-PS7K0;POWER SUPPLY;ACC-PSU-F13267K0;RACK 3;T3S-C
T3SC-PS8K0;POWER SUPPLY;RF-PSU-F13268K0;RACK 2;T3S-C
T3SC-RCU10;REDUNDANCY CONTROL UNIT (RCU);E0027-1010;RACK 4;T3S-C
T3SC-RCU23;REDUNDANCY CONTROL UNIT (RCU);E0027-1023;RACK 3;T3S-C
T3SC-RCU24;"REDUNDANCY CONTROL UNIT (RCU) ";E0027-1024;RACK 3;T3S-C
T3SC-REC;RECEIVER;9600;RACK 4;T3S-C
T3SC-RSC301;REDUNDANT SYSTEM CONTROL (RSC);56817301;RACK 4;T3S-C
T3SC-UPC10;UP CONVERTER;84952.003.00-1010;RACK 3;T3S-C
T3SC-UPC11;UP CONVERTER;84952.003.00-1011;RACK 3;T3S-C
T3SC-UPC12;UP CONVERTER;84952.003.00-1012;RACK 3;T3S-C
